,Course Name,University,Aptitude Score,Previous Score,Extracurricular activity,Course rating,Education_Num,Income_Level_Num,Difficulty_level_Num
0,Acing the Product Management Interview,Advancing Women in Product,71.0,69.0,Yes,5.0,71.0,87.0,97.0
1,The Business of Product Management I,Advancing Women in Product,75.0,65.0,Yes,4.8,57.0,58.0,92.0
2,The Art & Science of Product Management,Advancing Women in Product,62.0,63.0,No,5.0,76.0,71.0,58.0
3,Machine Learning Algorithms: Supervised Learning Tip to Tail,Alberta Machine Intelligence Institute,73.0,66.0,No,4.7,59.0,59.0,75.0
4,Data for Machine Learning,Alberta Machine Intelligence Institute,76.0,65.0,No,4.4,87.0,57.0,57.0
5,Introduction to Applied Machine Learning,Alberta Machine Intelligence Institute,81.0,66.0,Yes,4.7,61.0,62.0,70.0
6,Optimizing Machine Learning Performance,Alberta Machine Intelligence Institute,54.0,67.0,Yes,4.5,89.0,91.0,62.0
7,Big Data Analytical Platform on Alibaba Cloud,Alibaba Cloud Academy,68.0,65.0,Yes,4.7,79.0,57.0,57.0
8,Cloud Computing Fundamentals on Alibaba Cloud,Alibaba Cloud Academy,87.0,65.0,Yes,4.7,55.0,56.0,57.0
9,Protecting Cloud Architecture with Alibaba Cloud,Alibaba Cloud Academy,95.0,67.0,No,4.9,55.0,62.0,57.0
10,Building Containerized Applications on AWS,Amazon Web Services,60.0,66.0,No,4.0,57.0,72.0,57.0
11,Getting Started with AWS Machine Learning,Amazon Web Services,56.0,66.0,Yes,4.4,84.0,72.0,59.0
12,Building Modern Java Applications on AWS,Amazon Web Services,68.0,61.0,Yes,4.0,82.0,61.0,92.0
13,AWS Computer Vision: Getting Started with GluonCV,Amazon Web Services,53.0,60.0,Yes,4.6,70.0,92.0,61.0
14,Building Modern Python Applications on AWS,Amazon Web Services,52.0,64.0,Yes,4.3,76.0,63.0,93.0
15,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,89.0,66.0,Yes,4.6,70.0,85.0,57.0
16,Amazon DynamoDB: Building NoSQL Database-Driven Applications,Amazon Web Services,72.0,65.0,Yes,4.8,58.0,56.0,89.0
17,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,54.0,61.0,No,4.7,76.0,60.0,61.0
18,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,60.0,67.0,Yes,4.5,75.0,82.0,75.0
19,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,89.0,68.0,Yes,4.3,72.0,93.0,67.0
20,Genetics and Society: A Course for Educators,American Museum of Natural History,71.0,65.0,Yes,4.7,76.0,72.0,70.0
21,The Dynamic Earth: A Course for Educators,American Museum of Natural History,57.0,68.0,No,4.6,79.0,86.0,71.0
22,Our Earth's Future,American Museum of Natural History,72.0,66.0,No,4.7,58.0,57.0,69.0
23,The Science of Stem Cells,American Museum of Natural History,59.0,67.0,Yes,4.7,81.0,78.0,73.0
24,Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,74.0,64.0,Yes,4.8,82.0,73.0,60.0
25,Evolution: A Course for Educators,American Museum of Natural History,62.0,67.0,Yes,4.7,72.0,75.0,60.0
26,Teach English Now! Capstone Project 1,Arizona State University,90.0,65.0,Yes,4.8,71.0,61.0,92.0
27,Teach English Now! Capstone Project 1,Arizona State University,66.0,67.0,Yes,4.8,58.0,78.0,93.0
28,Experimental Design Basics,Arizona State University,82.0,67.0,Yes,4.8,76.0,78.0,72.0
29,Engaging ELLs and Their Families in the School and Community,Arizona State University,66.0,72.0,Yes,4.6,63.0,78.0,88.0
30,"Response Surfaces, Mixtures, and Model Building",Arizona State University,85.0,63.0,Yes,4.6,56.0,62.0,70.0
31,Learning How To Learn for Youth,Arizona State University,59.0,68.0,Yes,4.8,82.0,75.0,59.0
32,Teach English Now! Foundational Principles,Arizona State University,75.0,68.0,Yes,4.9,55.0,72.0,58.0
33,Teach English Now! Foundational Principles,Arizona State University,56.0,66.0,No,4.9,60.0,59.0,60.0
34,"Random Models, Nested and Split-plot Designs",Arizona State University,56.0,63.0,No,4.5,62.0,57.0,69.0
35,Teach English Now! Capstone Project 2,Arizona State University,83.0,66.0,No,4.7,70.0,56.0,61.0
36,Teach English Now! Capstone Project 2,Arizona State University,57.0,69.0,Yes,4.7,76.0,59.0,57.0
37,Business English: Final Project,Arizona State University,93.0,74.0,No,4.7,71.0,73.0,94.0
38,Factorial and Fractional Factorial Designs,Arizona State University,78.0,68.0,Yes,4.8,76.0,84.0,75.0
39,"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Arizona State University,96.0,67.0,No,4.9,57.0,55.0,92.0
