Course Name,University,Aptitude Score,Family_Income,Parental_Education_Level,Previous Score,Extracurricular activity,Difficulty Level,Course rating,Education_Num,Income_Level_Num,Difficulty_level_Num
Acing the Product Management Interview,Advancing Women in Product,71,High,High School,69,Yes,Advanced,5,70.0,82.0,96.0
The Business of Product Management I,Advancing Women in Product,75,Low,College,65,Yes,Advanced,4.8,61.0,62.0,95.0
The Art & Science of Product Management,Advancing Women in Product,62,Medium,High School,63,No,Beginner,5,79.0,73.0,62.0
Machine Learning Algorithms: Supervised Learning Tip to Tail,Alberta Machine Intelligence Institute,73,Low,College,66,No,Intermediate,4.7,56.0,62.0,69.0
Data for Machine Learning,Alberta Machine Intelligence Institute,76,Low,Postgraduate,65,No,Beginner,4.4,89.0,63.0,59.0
Introduction to Applied Machine Learning,Alberta Machine Intelligence Institute,81,Low,College,66,Yes,Intermediate,4.7,60.0,62.0,73.0
Optimizing Machine Learning Performance,Alberta Machine Intelligence Institute,54,High,Postgraduate,67,Yes,Beginner,4.5,82.0,85.0,57.0
Big Data Analytical Platform on Alibaba Cloud,Alibaba Cloud Academy,68,Low,High School,65,Yes,Beginner,4.7,73.0,62.0,62.0
Cloud Computing Fundamentals on Alibaba Cloud,Alibaba Cloud Academy,87,Low,College,65,Yes,Beginner,4.7,56.0,63.0,61.0
Protecting Cloud Architecture with Alibaba Cloud,Alibaba Cloud Academy,95,Low,College,67,No,Beginner,4.9,55.0,61.0,58.0
Building Containerized Applications on AWS,Amazon Web Services,60,Medium,College,66,No,Beginner,4,58.0,78.0,60.0
Getting Started with AWS Machine Learning,Amazon Web Services,56,Medium,Postgraduate,66,Yes,Beginner,4.4,83.0,77.0,59.0
Building Modern Java Applications on AWS,Amazon Web Services,68,Low,Postgraduate,61,Yes,Advanced,4,88.0,55.0,93.0
AWS Computer Vision: Getting Started with GluonCV,Amazon Web Services,53,High,High School,60,Yes,Beginner,4.6,73.0,88.0,59.0
Building Modern Python Applications on AWS,Amazon Web Services,52,Low,High School,64,Yes,Advanced,4.3,73.0,55.0,88.0
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,89,High,High School,66,Yes,Beginner,4.6,71.0,84.0,61.0
Amazon DynamoDB: Building NoSQL Database-Driven Applications,Amazon Web Services,72,Low,College,65,Yes,Advanced,4.8,62.0,58.0,94.0
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,54,Low,High School,61,No,Beginner,4.7,72.0,60.0,60.0
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,60,High,High School,67,Yes,Intermediate,4.5,74.0,85.0,71.0
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,89,High,High School,68,Yes,Intermediate,4.3,71.0,88.0,69.0
Genetics and Society: A Course for Educators,American Museum of Natural History,71,Medium,High School,65,Yes,Intermediate,4.7,78.0,73.0,72.0
The Dynamic Earth: A Course for Educators,American Museum of Natural History,57,High,High School,68,No,Intermediate,4.6,70.0,84.0,75.0
Our Earth's Future,American Museum of Natural History,72,Low,College,66,No,Intermediate,4.7,63.0,56.0,71.0
The Science of Stem Cells,American Museum of Natural History,59,Medium,Postgraduate,67,Yes,Intermediate,4.7,89.0,74.0,72.0
Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,74,Medium,Postgraduate,64,Yes,Beginner,4.8,92.0,70.0,58.0
Evolution: A Course for Educators,American Museum of Natural History,62,Medium,High School,67,Yes,Beginner,4.7,75.0,72.0,61.0
Teach English Now! Capstone Project 1,Arizona State University,90,Low,High School,65,Yes,Advanced,4.8,73.0,60.0,89.0
Teach English Now! Capstone Project 1,Arizona State University,66,Medium,College,67,Yes,Advanced,4.8,59.0,71.0,94.0
Experimental Design Basics,Arizona State University,82,Medium,High School,67,Yes,Intermediate,4.8,75.0,70.0,75.0
Engaging ELLs and Their Families in the School and Community,Arizona State University,66,Medium,College,72,Yes,Advanced,4.6,58.0,79.0,95.0
"Response Surfaces, Mixtures, and Model Building",Arizona State University,85,Low,College,63,Yes,Intermediate,4.6,57.0,61.0,67.0
Learning How To Learn for Youth,Arizona State University,59,Medium,Postgraduate,68,Yes,Beginner,4.8,83.0,76.0,62.0
Teach English Now! Foundational Principles,Arizona State University,75,Medium,College,68,Yes,Beginner,4.9,56.0,75.0,59.0
Teach English Now! Foundational Principles,Arizona State University,56,Low,College,66,No,Beginner,4.9,61.0,60.0,61.0
"Random Models, Nested and Split-plot Designs",Arizona State University,56,Low,College,63,No,Intermediate,4.5,60.0,57.0,67.0
Teach English Now! Capstone Project 2,Arizona State University,83,Low,High School,66,No,Beginner,4.7,76.0,56.0,59.0
Teach English Now! Capstone Project 2,Arizona State University,57,Low,High School,69,Yes,Beginner,4.7,79.0,55.0,62.0
Business English: Final Project,Arizona State University,93,Medium,High School,74,No,Advanced,4.7,78.0,75.0,95.0
Factorial and Fractional Factorial Designs,Arizona State University,78,High,High School,68,Yes,Intermediate,4.8,77.0,93.0,67.0
"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Arizona State University,96,Low,College,67,No,Advanced,4.9,59.0,60.0,97.0
"Teach English Now! Second Language Listening, Speaking, and Pronunciation",Arizona State University,80,Low,High School,62,Yes,Advanced,4.9,75.0,59.0,90.0
The Science of Health Care Delivery,Arizona State University,71,Low,High School,71,Yes,Beginner,4.7,77.0,56.0,59.0
ELL Success in the Content Classroom: Capstone Project,Arizona State University,90,High,Postgraduate,68,Yes,Advanced,4.6,91.0,87.0,95.0
Teach English Now! Teaching Language Online,Arizona State University,78,Low,Postgraduate,67,No,Intermediate,4.6,83.0,56.0,73.0
"Teach English Now! Second Language Reading, Writing, and Grammar",Arizona State University,79,Medium,Postgraduate,66,No,Beginner,4.9,93.0,77.0,59.0
"Teach English Now! Second Language Reading, Writing, and Grammar",Arizona State University,59,Medium,High School,72,Yes,Beginner,4.9,76.0,71.0,61.0
Business English: Marketing and Sales,Arizona State University,94,Low,High School,72,Yes,Advanced,4.7,70.0,58.0,90.0
Teach English Now! Theories of Second Language Acquisition,Arizona State University,90,Low,High School,66,Yes,Intermediate,4.9,80.0,62.0,68.0
Teach English Now! Theories of Second Language Acquisition,Arizona State University,78,Medium,High School,69,Yes,Intermediate,4.9,72.0,71.0,67.0
Teach English Now! Lesson Design and Assessment,Arizona State University,86,Low,High School,71,Yes,Beginner,4.9,80.0,60.0,60.0
Business English: Management and Leadership,Arizona State University,74,Low,High School,66,Yes,Advanced,4.8,77.0,63.0,89.0
